"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 19 21:56:19 MSK 2020","Thu Mar 19 21:56:25 MSK 2020","6017","test.test_contacts","test_add_contact","","","","test_add_contact[None:]",""
"passed","Thu Mar 19 21:57:33 MSK 2020","Thu Mar 19 21:57:39 MSK 2020","6139","test.test_contacts","test_send_all_contact","","","","test_send_all_contacts",""
"passed","Thu Mar 19 21:57:39 MSK 2020","Thu Mar 19 21:57:45 MSK 2020","6147","test.test_contacts","test_send_some_contact","","","","test_send_some_contacts",""
"broken","Thu Mar 19 21:57:08 MSK 2020","Thu Mar 19 21:57:09 MSK 2020","1416","test.test_contacts","test_del_first_contact","","","","test_delete_first_contact",""
"passed","Thu Mar 19 21:57:27 MSK 2020","Thu Mar 19 21:57:29 MSK 2020","1885","test.test_contacts","test_general","","","","test_general_info_on_home_page",""
"passed","Thu Mar 19 21:57:32 MSK 2020","Thu Mar 19 21:57:32 MSK 2020","618","test.test_contacts","test_phones","","","","test_phones_on_home_page",""
"passed","Thu Mar 19 21:56:59 MSK 2020","Thu Mar 19 21:57:00 MSK 2020","1072","test.test_contacts","test_add_first_contact_to_group","","","","test_add_first_contact_to_group",""
"passed","Thu Mar 19 21:57:25 MSK 2020","Thu Mar 19 21:57:27 MSK 2020","1311","test.test_contacts","test_emails","","","","test_emails_on_home_page",""
"failed","Thu Mar 19 21:56:25 MSK 2020","Thu Mar 19 21:56:31 MSK 2020","5536","test.test_contacts","test_add_contact","","","","test_add_contact[None:lastname t[?E]",""
"broken","Thu Mar 19 21:57:19 MSK 2020","Thu Mar 19 21:57:19 MSK 2020","703","test.test_contacts","test_del_specific_contact","","","","test_delete_specific_contact",""
"failed","Thu Mar 19 21:57:16 MSK 2020","Thu Mar 19 21:57:18 MSK 2020","2596","test.test_contacts","test_del_from_edit_page","","","","test_del_from_edit_page",""
"broken","Thu Mar 19 21:57:32 MSK 2020","Thu Mar 19 21:57:33 MSK 2020","378","test.test_contacts","test_phones","","","","test_phones_on_contact_view_page",""
"failed","Thu Mar 19 21:56:50 MSK 2020","Thu Mar 19 21:56:56 MSK 2020","6255","test.test_contacts","test_add_contact","","","","test_add_contact[None:lastname OGU2W~99F5]",""
"passed","Thu Mar 19 21:56:07 MSK 2020","Thu Mar 19 21:56:13 MSK 2020","6439","test.test_contacts","test_add_constant_contact","","","","test_add_contact[None:lastname1]",""
"passed","Thu Mar 19 21:57:29 MSK 2020","Thu Mar 19 21:57:32 MSK 2020","2828","test.test_contacts","test_modify_contact","","","","test_modify_fio",""
"passed","Thu Mar 19 21:56:13 MSK 2020","Thu Mar 19 21:56:19 MSK 2020","6013","test.test_contacts","test_add_constant_contact","","","","test_add_contact[None:lastname2]",""
"failed","Thu Mar 19 21:56:37 MSK 2020","Thu Mar 19 21:56:44 MSK 2020","6188","test.test_contacts","test_add_contact","","","","test_add_contact[None:lastname H'|6m""PZ>BD,]",""
"broken","Thu Mar 19 21:57:00 MSK 2020","Thu Mar 19 21:57:02 MSK 2020","1741","test.test_contacts","test_del_all_contact","","","","test_delete_all_contacts",""
"failed","Thu Mar 19 21:56:31 MSK 2020","Thu Mar 19 21:56:37 MSK 2020","6119","test.test_contacts","test_add_contact","","","","test_add_contact[None:lastname wK[T8n=R%I5L/]",""
"passed","Thu Mar 19 21:56:06 MSK 2020","Thu Mar 19 21:56:06 MSK 2020","226","test.test_contacts","test_add_all_contacts_to_group","","","","test_add_all_contacts_to_group",""
"failed","Thu Mar 19 21:56:44 MSK 2020","Thu Mar 19 21:56:50 MSK 2020","6210","test.test_contacts","test_add_contact","","","","test_add_contact[None:lastname o1D3G]",""
"passed","Thu Mar 19 21:56:57 MSK 2020","Thu Mar 19 21:56:59 MSK 2020","2124","test.test_contacts","test_add_empty_contact","","","","test_add_empty_contact",""
